


18:05; temperature; -16
18:05; pressure; 745
18:05; wind_speed; 13

18:18; temperature; -15
18:18; pressure; 728
18:18; wind_speed; 5

18:18; temperature; -10
18:18; wind_speed; 30
18:18; pressure; 722

18:19; temperature; -15
18:19; pressure; 730
18:19; wind_speed; 23

18:19; temperature; -9
18:19; wind_speed; 5
18:19; pressure; 747

18:19; temperature; -8
18:19; pressure; 734
18:19; wind_speed; 21

18:19; temperature; -17
18:19; wind_speed; 23
18:19; pressure; 734

18:19; temperature; -5
18:19; pressure; 748
18:19; wind_speed; 23

18:19; temperature; -12
18:19; wind_speed; 10
18:19; pressure; 748
